Date,Open,High,Low,Close,Volume
2020-01-21 00:00:00,330.9,332.18,330.82,331.3,77966322
2020-01-22 00:00:00,332.24,332.95,331.17,331.34,49084053
2020-01-23 00:00:00,330.63,332.1682,329.41,331.72,52081148
2020-01-24 00:00:00,332.44,332.53,327.36,328.77,87725448
2020-01-27 00:00:00,323.03,325.12,322.66,323.5,84414006
2020-01-28 00:00:00,325.06,327.85,324.55,326.89,64058804
2020-01-29 00:00:00,328.38,328.63,326.4,326.62,54242162
2020-01-30 00:00:00,324.36,327.91,323.54,327.68,75714733
2020-01-31 00:00:00,327,327.17,320.73,321.73,114068415
2020-02-03 00:00:00,323.35,326.16,323.22,324.12,69378764
2020-02-04 00:00:00,328.07,330.01,327.72,329.06,62801796
2020-02-05 00:00:00,332.27,333.09,330.67,332.86,66170836
2020-02-06 00:00:00,333.91,334.19,332.8,333.98,50749489
2020-02-07 00:00:00,332.82,333.9941,331.6,332.2,63959591
2020-02-10 00:00:00,331.23,334.75,331.19,334.68,42343764
2020-02-11 00:00:00,336.16,337.02,334.75,335.26,55024082
2020-02-12 00:00:00,336.83,337.65,336.43,337.42,44154162
2020-02-13 00:00:00,335.8621,338.12,335.56,337.06,54115751
2020-02-14 00:00:00,337.51,337.73,336.2,337.6,64715683
2020-02-18 00:00:00,336.51,337.6677,335.21,336.73,57597249
2020-02-19 00:00:00,337.79,339.08,337.48,338.34,49023144
2020-02-20 00:00:00,337.7423,338.64,333.6817,336.95,73984478
2020-02-21 00:00:00,335.47,335.81,332.58,333.48,114093666
2020-02-24 00:00:00,323.14,333.5623,321.24,322.42,161665075
2020-02-25 00:00:00,323.94,324.61,311.69,312.65,219196902
2020-02-26 00:00:00,314.18,318.11,310.7,311.5,194852264
2020-02-27 00:00:00,305.46,311.5637,297.51,297.51,283962598
2020-02-28 00:00:00,288.7,297.892,285.54,296.26,381983496
2020-03-02 00:00:00,298.21,309.16,294.46,309.09,239400356
2020-03-03 00:00:00,309.5,313.84,297.57,300.24,300574552
2020-03-04 00:00:00,306.12,313.1,303.33,312.86,176801416
2020-03-05 00:00:00,304.98,308.47,300.01,302.46,186683414
2020-03-06 00:00:00,293.15,298.78,290.23,297.46,228960012
2020-03-09 00:00:00,275.3,284.19,273.45,274.23,310436888
2020-03-10 00:00:00,284.64,288.52,273.5,288.42,276990436
2020-03-11 00:00:00,280.7,281.94,270.88,274.36,256734314
2020-03-12 00:00:00,256,266.66,247.68,248.11,393679530
2020-03-13 00:00:00,263.09,271.4754,249.58,269.32,330252283
2020-03-16 00:00:00,241.18,256.9,237.36,239.85,296792617
2020-03-17 00:00:00,245.04,256.17,237.07,252.8,261836127
2020-03-18 00:00:00,236.25,248.37,228.02,240,327724219
2020-03-19 00:00:00,239.25,247.38,232.22,240.51,289790568
2020-03-20 00:00:00,242.53,244.47,228.5,228.8,348045753
2020-03-23 00:00:00,228.19,229.6833,218.26,222.95,327229472
2020-03-24 00:00:00,234.42,244.1,233.8,243.15,235954426
2020-03-25 00:00:00,244.87,256.35,239.75,246.79,300041840
2020-03-26 00:00:00,249.52,262.8,249.05,261.2,258161719
2020-03-27 00:00:00,253.27,260.81,251.05,253.42,224788741
2020-03-30 00:00:00,255.7,262.43,253.53,261.65,171081883
2020-03-31 00:00:00,260.56,263.33,256.22,257.75,193987536
2020-04-01 00:00:00,247.98,257.6591,243.9,246.15,190167231
2020-04-02 00:00:00,245.19,252.68,244.59,251.83,177931526
2020-04-03 00:00:00,250.76,253.32,245.22,248.19,135814457
2020-04-06 00:00:00,257.84,267,256.725,264.86,188155875
2020-04-07 00:00:00,274.21,275.03,264.89,265.13,202150376
2020-04-08 00:00:00,267.96,276,265.56,274.03,154013360
2020-04-09 00:00:00,277.58,281.2,275.47,278.2,190493451
2020-04-13 00:00:00,277.14,277.51,271.41,275.66,115073487
2020-04-14 00:00:00,280.98,284.9,279.91,283.79,134112038
2020-04-15 00:00:00,277.57,283.9407,275.46,277.76,122235649
2020-04-16 00:00:00,279.15,280.03,275.76,279.1,131935603
2020-04-17 00:00:00,285.38,287.3,282.4,286.64,147246068
2020-04-20 00:00:00,282.61,286.7912,281.35,281.59,100346358
2020-04-21 00:00:00,276.73,278.04,272.02,273.04,126809571
2020-04-22 00:00:00,278.35,281,276.91,279.1,93740606
2020-04-23 00:00:00,280.49,283.94,278.75,279.08,104896702
2020-04-24 00:00:00,280.73,283.7,278.5,282.97,85360743
2020-04-27 00:00:00,285.12,288.27,284.62,287.05,78061251
2020-04-28 00:00:00,291.02,291.4,285.4,285.73,105676439
2020-04-29 00:00:00,291.53,294.88,290.41,293.21,118451998
2020-04-30 00:00:00,291.71,293.3239,288.59,290.48,122787093
2020-05-01 00:00:00,285.31,290.6572,281.52,282.79,125563365
2020-05-04 00:00:00,280.74,283.9,279.13,283.57,81282961
2020-05-05 00:00:00,286.64,289.25,285.75,286.19,79838418
2020-05-06 00:00:00,288.04,288.46,283.78,284.25,73738669
2020-05-07 00:00:00,287.75,289.78,287.13,287.68,75444726
2020-05-08 00:00:00,291.09,292.95,289.86,292.44,76752568
2020-05-11 00:00:00,290.34,294,289.88,292.5,79809969
2020-05-12 00:00:00,293.79,294.24,286.52,286.67,95959109
2020-05-13 00:00:00,286.06,287.19,278.965,281.6,145189302
2020-05-14 00:00:00,278.95,285.11,272.99,284.97,122326803
2020-05-15 00:00:00,282.37,286.33,281.34,286.28,111604978
2020-05-18 00:00:00,293.05,296.75,292.7,295,120690071
2020-05-19 00:00:00,294.35,296.205,291.95,291.97,95485453
2020-05-20 00:00:00,295.82,297.87,295.57,296.93,86040005
2020-05-21 00:00:00,296.79,297.67,293.6886,294.88,77930700
2020-05-22 00:00:00,294.57,295.63,293.22,295.44,64211574
2020-05-26 00:00:00,301.93,302.19,298.69,299.08,89356117
2020-05-27 00:00:00,302.12,303.57,296.87,303.53,105107396
2020-05-28 00:00:00,304.65,306.84,302.24,302.97,91076702
2020-05-29 00:00:00,302.46,304.96,299.47,304.32,119459906
2020-06-01 00:00:00,303.62,306.205,303.06,305.55,56677691
2020-06-02 00:00:00,306.55,308.13,305.1,308.08,74058985
2020-06-03 00:00:00,310.24,313.22,309.94,312.18,92967388
2020-06-04 00:00:00,311.11,313,309.08,311.36,76100031
2020-06-05 00:00:00,317.23,321.275,317.16,319.34,150942993
2020-06-08 00:00:00,320.22,323.41,319.63,323.2,73680654
2020-06-09 00:00:00,320.3,323.2849,319.36,320.79,77792086
2020-06-10 00:00:00,321.42,322.39,318.2209,319,95120496
2020-06-11 00:00:00,311.46,312.15,300.01,300.61,209899988
2020-06-12 00:00:00,308.24,309.08,298.6,304.21,194260108
2020-06-15 00:00:00,298.02,308.28,296.74,307.05,135544866
2020-06-16 00:00:00,315.48,315.64,307.67,312.96,137995498
2020-06-17 00:00:00,314.07,314.39,310.86,311.66,83306240
2020-06-18 00:00:00,310.005,312.3,309.51,311.78,80937795
2020-06-19 00:00:00,314.17,314.38,306.53,308.64,135993861
2020-06-22 00:00:00,307.99,311.05,306.75,310.62,74929536
2020-06-23 00:00:00,313.49,314.5,311.6101,312.05,68714204
2020-06-24 00:00:00,309.84,310.51,302.1,304.09,132930330
2020-06-25 00:00:00,303.47,307.64,301.28,307.35,89071360
2020-06-26 00:00:00,306.16,306.39,299.42,300.05,127747637
2020-06-29 00:00:00,301.41,304.61,298.93,304.46,79974424
2020-06-30 00:00:00,303.99,310.2,303.82,308.36,113641644
2020-07-01 00:00:00,309.57,311.89,309.07,310.52,72569791
2020-07-02 00:00:00,314.24,315.7,311.51,312.23,69581173
2020-07-06 00:00:00,316.37,317.68,315.56,317.05,61702399
2020-07-07 00:00:00,315.38,317.52,313.37,313.78,83026624
2020-07-08 00:00:00,314.61,316.3,312.7,316.18,54804874
2020-07-09 00:00:00,316.84,317.1,310.68,314.38,83568794
2020-07-10 00:00:00,314.31,317.88,312.76,317.59,57727227
2020-07-13 00:00:00,320.13,322.71,314.13,314.84,103264881
2020-07-14 00:00:00,313.3,319.76,312,318.92,93767412
2020-07-15 00:00:00,322.41,323.04,319.265,321.85,87602121
2020-07-16 00:00:00,319.79,321.28,319.09,320.79,54819339
2020-07-17 00:00:00,321.88,322.57,319.735,321.72,62891185
2020-07-20 00:00:00,321.43,325.13,320.62,324.32,56484683
2020-07-21 00:00:00,326.45,326.93,323.94,325.01,57691215
2020-07-22 00:00:00,324.62,327.2,324.5,326.86,57917101
2020-07-23 00:00:00,326.47,327.23,321.48,322.96,75841843
2020-07-24 00:00:00,320.95,321.99,319.246,320.88,72946759
2020-07-27 00:00:00,321.63,323.41,320.775,323.22,48212747
2020-07-28 00:00:00,322.43,323.64,320.85,321.17,56620376
2020-07-29 00:00:00,322.12,325.73,322.075,325.12,48578172
2020-07-30 00:00:00,321.9,324.41,319.64,323.96,61400077
2020-07-31 00:00:00,325.9,326.63,321.33,326.52,84631971
2020-08-03 00:00:00,328.32,329.62,327.73,328.79,52878837
2020-08-04 00:00:00,327.86,330.06,327.86,330.06,42035020
2020-08-05 00:00:00,331.47,332.39,331.18,332.11,43050953
2020-08-06 00:00:00,331.4799,334.46,331.13,334.33,43527444
2020-08-07 00:00:00,333.28,334.88,332.3,334.57,57413935
2020-08-10 00:00:00,335.06,335.77,332.955,335.57,44333776
2020-08-11 00:00:00,336.85,337.54,332.01,332.8,69754397
2020-08-12 00:00:00,335.44,338.28,335.43,337.44,53570574
2020-08-13 00:00:00,336.61,338.2514,335.83,336.83,41853055
2020-08-14 00:00:00,336.41,337.42,335.62,336.84,47275032
2020-08-17 00:00:00,337.94,338.34,337.48,337.91,35092877
2020-08-18 00:00:00,338.34,339.1,336.61,338.64,38627631
2020-08-19 00:00:00,339.05,339.61,336.62,337.23,68215296
2020-08-20 00:00:00,335.36,338.8,335.22,338.28,42408654
2020-08-21 00:00:00,337.92,339.72,337.55,339.48,55253282
2020-08-24 00:00:00,342.12,343,341.06,342.92,48780467
2020-08-25 00:00:00,343.53,344.21,342.27,344.12,38644012
2020-08-26 00:00:00,344.76,347.86,344.17,347.57,50899056
2020-08-27 00:00:00,348.51,349.9,346.53,348.33,58207591
2020-08-28 00:00:00,349.44,350.72,348.15,350.58,46897358
2020-08-31 00:00:00,350.35,351.3,349.06,349.31,66243333
2020-09-01 00:00:00,350.21,352.71,349.24,352.6,55135897
2020-09-02 00:00:00,354.67,358.75,353.43,357.7,68758070
2020-09-03 00:00:00,355.87,356.38,342.59,345.39,148134474
2020-09-04 00:00:00,346.13,347.83,334.87,342.57,139538064
2020-09-08 00:00:00,336.71,342.64,332.88,333.21,114050451
2020-09-09 00:00:00,337.55,342.46,336.61,339.79,90617927
2020-09-10 00:00:00,341.82,342.53,332.85,333.89,90738327
2020-09-11 00:00:00,335.82,336.97,331,334.06,84816970
2020-09-14 00:00:00,337.49,340.38,336.93,338.46,65104879
2020-09-15 00:00:00,341.12,342.02,339.02,340.17,52355231
2020-09-16 00:00:00,341.51,343.06,338.52,338.82,82068163
2020-09-17 00:00:00,333.56,337.6996,332.991,335.84,91738710
2020-09-18 00:00:00,335.37,335.49,327.97,330.65,106074745
2020-09-21 00:00:00,325.7,327.13,321.73,326.97,99426745
2020-09-22 00:00:00,328.57,330.9,325.86,330.3,63772743
2020-09-23 00:00:00,330.9,331.2,322.1,322.64,92774530
2020-09-24 00:00:00,321.22,326.797,319.8,323.5,76811301
2020-09-25 00:00:00,322.58,329.58,321.64,328.73,71197640
2020-09-28 00:00:00,333.22,334.96,332.15,334.19,64606703
2020-09-29 00:00:00,333.97,334.77,331.6209,332.37,51672107
2020-09-30 00:00:00,333.09,338.29,332.88,334.89,103984655
2020-10-01 00:00:00,337.69,338.74,335.01,337.04,88920514
2020-10-02 00:00:00,331.7,337.0126,331.19,333.84,89599433
2020-10-05 00:00:00,336.06,339.96,336.01,339.76,45887754
2020-10-06 00:00:00,339.91,342.17,334.38,334.93,89976445
2020-10-07 00:00:00,338.12,341.63,338.09,340.76,57169467
2020-10-08 00:00:00,342.85,343.85,341.86,343.78,45411768
2020-10-09 00:00:00,345.56,347.35,344.89,346.85,59728963
2020-10-12 00:00:00,349.59,354.02,349.06,352.43,79852096
2020-10-13 00:00:00,352.28,352.4651,349.09,350.13,73116080
2020-10-14 00:00:00,350.75,351.93,347.14,347.93,57902810
2020-10-15 00:00:00,343.71,348.02,343.13,347.5,60516632
2020-10-16 00:00:00,348.96,350.75,347.1,347.29,89764929
2020-10-19 00:00:00,348.65,349.33,341.04,342.01,68654735
2020-10-20 00:00:00,343.46,346.88,342.64,343.38,60198355
2020-10-21 00:00:00,343.33,348.6847,342.4,342.73,63701022
2020-10-22 00:00:00,342.96,345.24,340.65,344.61,55553305
2020-10-23 00:00:00,345.93,345.99,343.13,345.78,49285125
2020-10-26 00:00:00,342.13,342.98,335.62,339.39,91438344
2020-10-27 00:00:00,339.76,340.12,337.99,338.22,65978662
2020-10-28 00:00:00,332.1,338.2483,326.13,326.66,127353813
2020-10-29 00:00:00,326.91,333.395,325.09,329.98,90534802
2020-10-30 00:00:00,328.28,329.69,322.6,326.54,120282921
2020-11-02 00:00:00,330.2,332.36,327.24,330.2,86115746
2020-11-03 00:00:00,333.69,338.25,333.17,336.03,93227788
2020-11-04 00:00:00,340.86,347.94,339.59,343.54,127045985
2020-11-05 00:00:00,349.24,352.19,348.86,350.24,82419383
2020-11-06 00:00:00,349.93,351.51,347.65,350.16,75149967
